epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-B3,0.0,P37,post,S5,alpha,5.981970015098784e-09,11.375,Pz
0.0,S5-B3,0.0,P37,pre,S5,alpha,5.933431373728236e-09,11.375,Pz
0.0,S5-B3,0.0,P37,slice,S5,alpha,6.021336383906239e-09,11.375,Pz
0.0,S5-B3,1.0,P37,post,S5,alpha,4.780541166842467e-09,11.375,P3
0.0,S5-B3,1.0,P37,pre,S5,alpha,4.745523342150709e-09,11.375,P3
0.0,S5-B3,1.0,P37,slice,S5,alpha,4.842744791458049e-09,11.375,P3
0.0,S5-B3,2.0,P37,post,S5,alpha,4.164754857710888e-09,11.375,O1
0.0,S5-B3,2.0,P37,pre,S5,alpha,4.346162929866564e-09,11.375,O1
0.0,S5-B3,2.0,P37,slice,S5,alpha,4.243741669535765e-09,11.375,O1
0.0,S5-B3,3.0,P37,post,S5,alpha,4.796639985713851e-09,11.375,Oz
0.0,S5-B3,3.0,P37,pre,S5,alpha,5.106672288744038e-09,11.375,Oz
0.0,S5-B3,3.0,P37,slice,S5,alpha,4.843667123039728e-09,11.375,Oz
0.0,S5-B3,4.0,P37,post,S5,alpha,6.017088723090533e-09,11.375,O2
0.0,S5-B3,4.0,P37,pre,S5,alpha,6.407304553820762e-09,11.375,O2
0.0,S5-B3,4.0,P37,slice,S5,alpha,6.022448103234753e-09,11.375,O2
0.0,S5-B3,5.0,P37,post,S5,alpha,7.737204494025204e-09,11.375,P4
0.0,S5-B3,5.0,P37,pre,S5,alpha,8.14641734810014e-09,11.375,P4
0.0,S5-B3,5.0,P37,slice,S5,alpha,7.73684985580946e-09,11.375,P4
1.0,S5-B3,0.0,P37,post,S5,alpha,5.508164296095753e-09,11.375,Pz
1.0,S5-B3,0.0,P37,pre,S5,alpha,5.281462162185489e-09,11.375,Pz
1.0,S5-B3,0.0,P37,slice,S5,alpha,6.014277388163117e-09,11.375,Pz
1.0,S5-B3,1.0,P37,post,S5,alpha,4.346410369518792e-09,11.375,P3
1.0,S5-B3,1.0,P37,pre,S5,alpha,4.2546580776236015e-09,11.375,P3
1.0,S5-B3,1.0,P37,slice,S5,alpha,4.837159984819475e-09,11.375,P3
1.0,S5-B3,2.0,P37,post,S5,alpha,3.728479095768029e-09,11.375,O1
1.0,S5-B3,2.0,P37,pre,S5,alpha,3.822245199607328e-09,11.375,O1
1.0,S5-B3,2.0,P37,slice,S5,alpha,4.237749533771431e-09,11.375,O1
