epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-B2,0.0,P45,post,S2,alpha,5.930590014610335e-09,11.375,Pz
0.0,S2-B2,0.0,P45,pre,S2,alpha,6.268340750836281e-09,11.375,Pz
0.0,S2-B2,0.0,P45,slice,S2,alpha,6.162872205689531e-09,11.375,Pz
0.0,S2-B2,1.0,P45,post,S2,alpha,4.793560597727844e-09,11.375,P3
0.0,S2-B2,1.0,P45,pre,S2,alpha,5.065587927390517e-09,11.375,P3
0.0,S2-B2,1.0,P45,slice,S2,alpha,4.9567822715573916e-09,11.375,P3
0.0,S2-B2,2.0,P45,post,S2,alpha,4.121572956142397e-09,11.375,O1
0.0,S2-B2,2.0,P45,pre,S2,alpha,4.110038942382411e-09,11.375,O1
0.0,S2-B2,2.0,P45,slice,S2,alpha,4.344153116607725e-09,11.375,O1
0.0,S2-B2,3.0,P45,post,S2,alpha,4.63030742653607e-09,11.375,Oz
0.0,S2-B2,3.0,P45,pre,S2,alpha,4.479496570004866e-09,11.375,Oz
0.0,S2-B2,3.0,P45,slice,S2,alpha,4.958597002801637e-09,11.375,Oz
0.0,S2-B2,4.0,P45,post,S2,alpha,5.70287557196395e-09,11.375,O2
0.0,S2-B2,4.0,P45,pre,S2,alpha,5.485830187058965e-09,11.375,O2
0.0,S2-B2,4.0,P45,slice,S2,alpha,6.165147720399504e-09,11.375,O2
0.0,S2-B2,5.0,P45,post,S2,alpha,7.337046331209651e-09,11.375,P4
0.0,S2-B2,5.0,P45,pre,S2,alpha,7.138275804291532e-09,11.375,P4
0.0,S2-B2,5.0,P45,slice,S2,alpha,7.918959400552679e-09,11.375,P4
1.0,S2-B2,0.0,P45,post,S2,alpha,5.6428633365213086e-09,11.375,Pz
1.0,S2-B2,0.0,P45,pre,S2,alpha,5.443291899845493e-09,11.375,Pz
1.0,S2-B2,0.0,P45,slice,S2,alpha,6.121062692207238e-09,11.375,Pz
1.0,S2-B2,1.0,P45,post,S2,alpha,4.592480487998293e-09,11.375,P3
1.0,S2-B2,1.0,P45,pre,S2,alpha,4.307085006970403e-09,11.375,P3
1.0,S2-B2,1.0,P45,slice,S2,alpha,4.922800771976585e-09,11.375,P3
1.0,S2-B2,2.0,P45,post,S2,alpha,4.022335550607802e-09,11.375,O1
1.0,S2-B2,2.0,P45,pre,S2,alpha,3.73166336284665e-09,11.375,O1
1.0,S2-B2,2.0,P45,slice,S2,alpha,4.313181255030214e-09,11.375,O1
1.0,S2-B2,3.0,P45,post,S2,alpha,4.532820108440248e-09,11.375,Oz
1.0,S2-B2,3.0,P45,pre,S2,alpha,4.314324915580913e-09,11.375,Oz
1.0,S2-B2,3.0,P45,slice,S2,alpha,4.924702505205655e-09,11.375,Oz
1.0,S2-B2,4.0,P45,post,S2,alpha,5.575810377342932e-09,11.375,O2
1.0,S2-B2,4.0,P45,pre,S2,alpha,5.460367261544513e-09,11.375,O2
1.0,S2-B2,4.0,P45,slice,S2,alpha,6.1249813046444695e-09,11.375,O2
1.0,S2-B2,5.0,P45,post,S2,alpha,7.13814999061352e-09,11.375,P4
1.0,S2-B2,5.0,P45,pre,S2,alpha,7.127655717562306e-09,11.375,P4
1.0,S2-B2,5.0,P45,slice,S2,alpha,7.869505468008014e-09,11.375,P4
2.0,S2-B2,0.0,P45,post,S2,alpha,6.584551237747392e-09,11.375,Pz
2.0,S2-B2,0.0,P45,pre,S2,alpha,6.305045609661471e-09,11.375,Pz
2.0,S2-B2,0.0,P45,slice,S2,alpha,6.140863287609882e-09,11.375,Pz
2.0,S2-B2,1.0,P45,post,S2,alpha,5.3509528743110865e-09,11.375,P3
2.0,S2-B2,1.0,P45,pre,S2,alpha,5.065854663777185e-09,11.375,P3
2.0,S2-B2,1.0,P45,slice,S2,alpha,4.939367415356423e-09,11.375,P3
2.0,S2-B2,2.0,P45,post,S2,alpha,4.422108625320911e-09,11.375,O1
2.0,S2-B2,2.0,P45,pre,S2,alpha,4.30591500701286e-09,11.375,O1
2.0,S2-B2,2.0,P45,slice,S2,alpha,4.3281922124663795e-09,11.375,O1
2.0,S2-B2,3.0,P45,post,S2,alpha,4.857854486685452e-09,11.375,Oz
2.0,S2-B2,3.0,P45,pre,S2,alpha,4.8690863327300254e-09,11.375,Oz
2.0,S2-B2,3.0,P45,slice,S2,alpha,4.939668380895685e-09,11.375,Oz
2.0,S2-B2,4.0,P45,post,S2,alpha,5.943180526778718e-09,11.375,O2
2.0,S2-B2,4.0,P45,pre,S2,alpha,6.0489218138414506e-09,11.375,O2
2.0,S2-B2,4.0,P45,slice,S2,alpha,6.140580568492763e-09,11.375,O2
2.0,S2-B2,5.0,P45,post,S2,alpha,7.6487743303068e-09,11.375,P4
2.0,S2-B2,5.0,P45,pre,S2,alpha,7.772999085983803e-09,11.375,P4
2.0,S2-B2,5.0,P45,slice,S2,alpha,7.888099171929356e-09,11.375,P4
3.0,S2-B2,0.0,P45,post,S2,alpha,6.152080730288819e-09,11.375,Pz
3.0,S2-B2,0.0,P45,pre,S2,alpha,6.262433021565429e-09,11.375,Pz
3.0,S2-B2,0.0,P45,slice,S2,alpha,6.150441013703801e-09,11.375,Pz
3.0,S2-B2,1.0,P45,post,S2,alpha,4.935890563005264e-09,11.375,P3
3.0,S2-B2,1.0,P45,pre,S2,alpha,4.907849690420195e-09,11.375,P3
3.0,S2-B2,1.0,P45,slice,S2,alpha,4.946948393242404e-09,11.375,P3
3.0,S2-B2,2.0,P45,post,S2,alpha,4.129895183570679e-09,11.375,O1
3.0,S2-B2,2.0,P45,pre,S2,alpha,4.07528733869746e-09,11.375,O1
3.0,S2-B2,2.0,P45,slice,S2,alpha,4.33496899980786e-09,11.375,O1
3.0,S2-B2,3.0,P45,post,S2,alpha,4.64290372718845e-09,11.375,Oz
3.0,S2-B2,3.0,P45,pre,S2,alpha,4.706302394758284e-09,11.375,Oz
3.0,S2-B2,3.0,P45,slice,S2,alpha,4.947755298200209e-09,11.375,Oz
3.0,S2-B2,4.0,P45,post,S2,alpha,5.785310459248896e-09,11.375,O2
3.0,S2-B2,4.0,P45,pre,S2,alpha,6.003927926056693e-09,11.375,O2
3.0,S2-B2,4.0,P45,slice,S2,alpha,6.151287762626717e-09,11.375,O2
3.0,S2-B2,5.0,P45,post,S2,alpha,7.511107733589813e-09,11.375,P4
3.0,S2-B2,5.0,P45,pre,S2,alpha,7.873345698291389e-09,11.375,P4
3.0,S2-B2,5.0,P45,slice,S2,alpha,7.902125848279151e-09,11.375,P4
4.0,S2-B2,0.0,P45,post,S2,alpha,5.6403913745876395e-09,11.375,Pz
4.0,S2-B2,0.0,P45,pre,S2,alpha,5.385234671829605e-09,11.375,Pz
4.0,S2-B2,0.0,P45,slice,S2,alpha,6.154318204232512e-09,11.375,Pz
4.0,S2-B2,1.0,P45,post,S2,alpha,4.461193470403152e-09,11.375,P3
4.0,S2-B2,1.0,P45,pre,S2,alpha,4.268976208707021e-09,11.375,P3
4.0,S2-B2,1.0,P45,slice,S2,alpha,4.950924019211411e-09,11.375,P3
4.0,S2-B2,2.0,P45,post,S2,alpha,3.776048489006544e-09,11.375,O1
4.0,S2-B2,2.0,P45,pre,S2,alpha,3.7798649794101665e-09,11.375,O1
4.0,S2-B2,2.0,P45,slice,S2,alpha,4.3375367685814926e-09,11.375,O1
4.0,S2-B2,3.0,P45,post,S2,alpha,4.318821425901885e-09,11.375,Oz
4.0,S2-B2,3.0,P45,pre,S2,alpha,4.4056455985762495e-09,11.375,Oz
4.0,S2-B2,3.0,P45,slice,S2,alpha,4.951128309348969e-09,11.375,Oz
4.0,S2-B2,4.0,P45,post,S2,alpha,5.444607472567382e-09,11.375,O2
4.0,S2-B2,4.0,P45,pre,S2,alpha,5.569246882888044e-09,11.375,O2
4.0,S2-B2,4.0,P45,slice,S2,alpha,6.155006682532636e-09,11.375,O2
4.0,S2-B2,5.0,P45,post,S2,alpha,7.114514379760585e-09,11.375,P4
4.0,S2-B2,5.0,P45,pre,S2,alpha,7.217648947677024e-09,11.375,P4
4.0,S2-B2,5.0,P45,slice,S2,alpha,7.90653178364153e-09,11.375,P4
5.0,S2-B2,0.0,P45,post,S2,alpha,5.970247259630579e-09,11.375,Pz
5.0,S2-B2,0.0,P45,pre,S2,alpha,5.856613759813508e-09,11.375,Pz
5.0,S2-B2,0.0,P45,slice,S2,alpha,6.156389727712955e-09,11.375,Pz
5.0,S2-B2,1.0,P45,post,S2,alpha,4.682573262804482e-09,11.375,P3
5.0,S2-B2,1.0,P45,pre,S2,alpha,4.703035106711836e-09,11.375,P3
5.0,S2-B2,1.0,P45,slice,S2,alpha,4.95355242523331e-09,11.375,P3
5.0,S2-B2,2.0,P45,post,S2,alpha,4.128668595425653e-09,11.375,O1
5.0,S2-B2,2.0,P45,pre,S2,alpha,4.299481363878866e-09,11.375,O1
5.0,S2-B2,2.0,P45,slice,S2,alpha,4.338997899140946e-09,11.375,O1
5.0,S2-B2,3.0,P45,post,S2,alpha,4.874906704986016e-09,11.375,Oz
5.0,S2-B2,3.0,P45,pre,S2,alpha,5.001669622149731e-09,11.375,Oz
5.0,S2-B2,3.0,P45,slice,S2,alpha,4.9530112830558305e-09,11.375,Oz
5.0,S2-B2,4.0,P45,post,S2,alpha,6.2273175293678544e-09,11.375,O2
5.0,S2-B2,4.0,P45,pre,S2,alpha,6.2399893342205445e-09,11.375,O2
5.0,S2-B2,4.0,P45,slice,S2,alpha,6.1569337155375246e-09,11.375,O2
