epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-B2,0.0,P24,post,S5,alpha,4.2541712283395126e-09,10.5,Pz
0.0,S5-B2,0.0,P24,pre,S5,alpha,4.2328626531383446e-09,10.5,Pz
0.0,S5-B2,0.0,P24,slice,S5,alpha,4.602869685111856e-09,10.5,Pz
0.0,S5-B2,1.0,P24,post,S5,alpha,3.5358932956887033e-09,10.5,P3
0.0,S5-B2,1.0,P24,pre,S5,alpha,3.3655356351406824e-09,10.5,P3
0.0,S5-B2,1.0,P24,slice,S5,alpha,3.7025318791503004e-09,10.5,P3
0.0,S5-B2,2.0,P24,post,S5,alpha,3.1859397668203126e-09,10.5,O1
0.0,S5-B2,2.0,P24,pre,S5,alpha,2.900465198465381e-09,10.5,O1
0.0,S5-B2,2.0,P24,slice,S5,alpha,3.2440308079741202e-09,10.5,O1
0.0,S5-B2,3.0,P24,post,S5,alpha,3.5557243687610026e-09,10.5,Oz
0.0,S5-B2,3.0,P24,pre,S5,alpha,3.3304540231718806e-09,10.5,Oz
0.0,S5-B2,3.0,P24,slice,S5,alpha,3.703379743784381e-09,10.5,Oz
0.0,S5-B2,4.0,P24,post,S5,alpha,4.301999031949179e-09,10.5,O2
0.0,S5-B2,4.0,P24,pre,S5,alpha,4.196497469739751e-09,10.5,O2
0.0,S5-B2,4.0,P24,slice,S5,alpha,4.6041881275572125e-09,10.5,O2
0.0,S5-B2,5.0,P24,post,S5,alpha,5.421131200706728e-09,10.5,P4
0.0,S5-B2,5.0,P24,pre,S5,alpha,5.473882109496358e-09,10.5,P4
0.0,S5-B2,5.0,P24,slice,S5,alpha,5.914358029254559e-09,10.5,P4
1.0,S5-B2,0.0,P24,post,S5,alpha,5.415834391061554e-09,10.5,Pz
1.0,S5-B2,0.0,P24,pre,S5,alpha,5.138192639207657e-09,10.5,Pz
1.0,S5-B2,0.0,P24,slice,S5,alpha,4.645438198076471e-09,10.5,Pz
1.0,S5-B2,1.0,P24,post,S5,alpha,4.4832023111568734e-09,10.5,P3
1.0,S5-B2,1.0,P24,pre,S5,alpha,4.214876646014759e-09,10.5,P3
1.0,S5-B2,1.0,P24,slice,S5,alpha,3.7365674818305e-09,10.5,P3
1.0,S5-B2,2.0,P24,post,S5,alpha,3.690450422057642e-09,10.5,O1
1.0,S5-B2,2.0,P24,pre,S5,alpha,3.5633154059805124e-09,10.5,O1
1.0,S5-B2,2.0,P24,slice,S5,alpha,3.2739458597265784e-09,10.5,O1
1.0,S5-B2,3.0,P24,post,S5,alpha,3.958366423739977e-09,10.5,Oz
1.0,S5-B2,3.0,P24,pre,S5,alpha,3.931308411017427e-09,10.5,Oz
1.0,S5-B2,3.0,P24,slice,S5,alpha,3.736688403332468e-09,10.5,Oz
1.0,S5-B2,4.0,P24,post,S5,alpha,4.733436482567824e-09,10.5,O2
1.0,S5-B2,4.0,P24,pre,S5,alpha,4.778096119712507e-09,10.5,O2
1.0,S5-B2,4.0,P24,slice,S5,alpha,4.645442876047754e-09,10.5,O2
1.0,S5-B2,5.0,P24,post,S5,alpha,6.0153177712458875e-09,10.5,P4
1.0,S5-B2,5.0,P24,pre,S5,alpha,6.0758155280276056e-09,10.5,P4
1.0,S5-B2,5.0,P24,slice,S5,alpha,5.96733795041824e-09,10.5,P4
2.0,S5-B2,0.0,P24,post,S5,alpha,4.7729589558750785e-09,10.5,Pz
2.0,S5-B2,0.0,P24,pre,S5,alpha,5.1891962892513205e-09,10.5,Pz
2.0,S5-B2,0.0,P24,slice,S5,alpha,4.626349904910891e-09,10.5,Pz
