epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-B5,0.0,P19,post,S2,theta,7.628400741876495e-11,8.125,Pz
0.0,S2-B5,0.0,P19,pre,S2,theta,1.0456575686444352e-10,8.125,Pz
0.0,S2-B5,0.0,P19,slice,S2,theta,8.793126989667603e-12,8.125,Pz
0.0,S2-B5,1.0,P19,post,S2,theta,3.83249465436876e-11,8.125,P3
0.0,S2-B5,1.0,P19,pre,S2,theta,8.077391282666921e-11,8.125,P3
0.0,S2-B5,1.0,P19,slice,S2,theta,7.181858894876615e-12,8.125,P3
0.0,S2-B5,2.0,P19,post,S2,theta,2.1057264190681216e-11,8.125,O1
0.0,S2-B5,2.0,P19,pre,S2,theta,2.7752913409023057e-11,8.125,O1
0.0,S2-B5,2.0,P19,slice,S2,theta,6.1433761004565615e-12,8.125,O1
0.0,S2-B5,3.0,P19,post,S2,theta,5.1770993173911593e-11,8.125,Oz
0.0,S2-B5,3.0,P19,pre,S2,theta,1.4392406816555293e-11,8.125,Oz
0.0,S2-B5,3.0,P19,slice,S2,theta,7.421881516462756e-12,8.125,Oz
0.0,S2-B5,4.0,P19,post,S2,theta,8.233501136868814e-11,8.125,O2
0.0,S2-B5,4.0,P19,pre,S2,theta,2.0031533243984577e-11,8.125,O2
0.0,S2-B5,4.0,P19,slice,S2,theta,8.615387774689566e-12,8.125,O2
0.0,S2-B5,5.0,P19,post,S2,theta,1.1804086235817818e-10,8.125,P4
0.0,S2-B5,5.0,P19,pre,S2,theta,5.141591283445981e-11,8.125,P4
0.0,S2-B5,5.0,P19,slice,S2,theta,1.0993635767442787e-11,8.125,P4
1.0,S2-B5,0.0,P19,post,S2,theta,1.4288988278935784e-10,8.125,Pz
1.0,S2-B5,0.0,P19,pre,S2,theta,4.084442689663601e-11,8.125,Pz
1.0,S2-B5,0.0,P19,slice,S2,theta,1.0357529506612258e-11,8.125,Pz
1.0,S2-B5,1.0,P19,post,S2,theta,6.131490421742236e-11,8.125,P3
1.0,S2-B5,1.0,P19,pre,S2,theta,1.7793291878433037e-11,8.125,P3
1.0,S2-B5,1.0,P19,slice,S2,theta,7.513254042350708e-12,8.125,P3
1.0,S2-B5,2.0,P19,post,S2,theta,4.9664239232870236e-11,8.125,O1
1.0,S2-B5,2.0,P19,pre,S2,theta,1.3800411217634478e-11,8.125,O1
1.0,S2-B5,2.0,P19,slice,S2,theta,6.248116183203022e-12,8.125,O1
1.0,S2-B5,3.0,P19,post,S2,theta,1.2020984065490386e-10,8.125,Oz
