epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-B2,0.0,P38,post,S2,theta,2.4095016237655454e-10,9.75,Pz
0.0,S2-B2,0.0,P38,pre,S2,theta,1.1578943776809616e-10,9.75,Pz
0.0,S2-B2,0.0,P38,slice,S2,theta,3.164865054669847e-11,9.75,Pz
0.0,S2-B2,1.0,P38,post,S2,theta,2.042360782323387e-10,9.75,P3
0.0,S2-B2,1.0,P38,pre,S2,theta,9.594013319528128e-11,9.75,P3
0.0,S2-B2,1.0,P38,slice,S2,theta,2.6215207223543192e-11,9.75,P3
0.0,S2-B2,2.0,P38,post,S2,theta,9.663868911515648e-11,9.75,O1
0.0,S2-B2,2.0,P38,pre,S2,theta,6.054119788896509e-11,9.75,O1
0.0,S2-B2,2.0,P38,slice,S2,theta,2.2025557997404396e-11,9.75,O1
0.0,S2-B2,3.0,P38,post,S2,theta,6.721209181184316e-11,9.75,Oz
0.0,S2-B2,3.0,P38,pre,S2,theta,4.5097263167242525e-11,9.75,Oz
0.0,S2-B2,3.0,P38,slice,S2,theta,2.523250814499706e-11,9.75,Oz
0.0,S2-B2,4.0,P38,post,S2,theta,6.896292615096736e-11,9.75,O2
0.0,S2-B2,4.0,P38,pre,S2,theta,3.9485558934831835e-11,9.75,O2
0.0,S2-B2,4.0,P38,slice,S2,theta,3.11505730401143e-11,9.75,O2
0.0,S2-B2,5.0,P38,post,S2,theta,1.0933787506798534e-10,9.75,P4
0.0,S2-B2,5.0,P38,pre,S2,theta,6.503311009139919e-11,9.75,P4
0.0,S2-B2,5.0,P38,slice,S2,theta,4.062797881257809e-11,9.75,P4
1.0,S2-B2,0.0,P38,post,S2,theta,5.035917855493546e-10,9.75,Pz
1.0,S2-B2,0.0,P38,pre,S2,theta,1.6104794196712292e-10,9.75,Pz
1.0,S2-B2,0.0,P38,slice,S2,theta,3.539806075837763e-11,9.75,Pz
1.0,S2-B2,1.0,P38,post,S2,theta,3.6364790449881494e-10,9.75,P3
1.0,S2-B2,1.0,P38,pre,S2,theta,1.3298295485659218e-10,9.75,P3
1.0,S2-B2,1.0,P38,slice,S2,theta,2.843113596242975e-11,9.75,P3
1.0,S2-B2,2.0,P38,post,S2,theta,1.1010685666139931e-10,9.75,O1
1.0,S2-B2,2.0,P38,pre,S2,theta,6.051751162766975e-11,9.75,O1
1.0,S2-B2,2.0,P38,slice,S2,theta,2.2612823021073193e-11,9.75,O1
1.0,S2-B2,3.0,P38,post,S2,theta,7.287895376596888e-11,9.75,Oz
1.0,S2-B2,3.0,P38,pre,S2,theta,4.873398464535613e-11,9.75,Oz
1.0,S2-B2,3.0,P38,slice,S2,theta,2.5171886600630747e-11,9.75,Oz
1.0,S2-B2,4.0,P38,post,S2,theta,1.221902122063623e-10,9.75,O2
1.0,S2-B2,4.0,P38,pre,S2,theta,5.531019465610481e-11,9.75,O2
1.0,S2-B2,4.0,P38,slice,S2,theta,3.141446626288251e-11,9.75,O2
1.0,S2-B2,5.0,P38,post,S2,theta,2.490711949626353e-10,9.75,P4
1.0,S2-B2,5.0,P38,pre,S2,theta,7.462562848507089e-11,9.75,P4
1.0,S2-B2,5.0,P38,slice,S2,theta,4.157917068044056e-11,9.75,P4
2.0,S2-B2,0.0,P38,post,S2,theta,1.0574274537958687e-10,9.75,Pz
2.0,S2-B2,0.0,P38,pre,S2,theta,5.073718365332555e-10,9.75,Pz
2.0,S2-B2,0.0,P38,slice,S2,theta,3.4137713669119855e-11,9.75,Pz
