epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-B4,0.0,P10,post,S5,alpha,6.0073583523273054e-09,11.5,Pz
0.0,S5-B4,0.0,P10,pre,S5,alpha,5.977781532646609e-09,11.5,Pz
0.0,S5-B4,0.0,P10,slice,S5,alpha,6.41671546360603e-09,11.5,Pz
0.0,S5-B4,1.0,P10,post,S5,alpha,4.748018848369669e-09,11.5,P3
0.0,S5-B4,1.0,P10,pre,S5,alpha,4.833547458603151e-09,11.5,P3
0.0,S5-B4,1.0,P10,slice,S5,alpha,5.161348249410466e-09,11.5,P3
0.0,S5-B4,2.0,P10,post,S5,alpha,4.368774968043462e-09,11.5,O1
0.0,S5-B4,2.0,P10,pre,S5,alpha,4.450199111049538e-09,11.5,O1
0.0,S5-B4,2.0,P10,slice,S5,alpha,4.524397901693012e-09,11.5,O1
0.0,S5-B4,3.0,P10,post,S5,alpha,5.187279002697813e-09,11.5,Oz
0.0,S5-B4,3.0,P10,pre,S5,alpha,5.152831570668316e-09,11.5,Oz
0.0,S5-B4,3.0,P10,slice,S5,alpha,5.163076018527847e-09,11.5,Oz
0.0,S5-B4,4.0,P10,post,S5,alpha,6.577991662238916e-09,11.5,O2
0.0,S5-B4,4.0,P10,pre,S5,alpha,6.390722715434903e-09,11.5,O2
0.0,S5-B4,4.0,P10,slice,S5,alpha,6.41767481260601e-09,11.5,O2
0.0,S5-B4,5.0,P10,post,S5,alpha,8.439706584812424e-09,11.5,P4
0.0,S5-B4,5.0,P10,pre,S5,alpha,8.113017573730082e-09,11.5,P4
0.0,S5-B4,5.0,P10,slice,S5,alpha,8.243052759009647e-09,11.5,P4
1.0,S5-B4,0.0,P10,post,S5,alpha,6.209358323376121e-09,11.5,Pz
1.0,S5-B4,0.0,P10,pre,S5,alpha,6.32814885572589e-09,11.5,Pz
1.0,S5-B4,0.0,P10,slice,S5,alpha,6.449665894606421e-09,11.5,Pz
1.0,S5-B4,1.0,P10,post,S5,alpha,5.070595420295462e-09,11.5,P3
1.0,S5-B4,1.0,P10,pre,S5,alpha,5.279230375619468e-09,11.5,P3
1.0,S5-B4,1.0,P10,slice,S5,alpha,5.187952448047143e-09,11.5,P3
1.0,S5-B4,2.0,P10,post,S5,alpha,4.676418857967623e-09,11.5,O1
1.0,S5-B4,2.0,P10,pre,S5,alpha,5.020991417908363e-09,11.5,O1
1.0,S5-B4,2.0,P10,slice,S5,alpha,4.5471485889175205e-09,11.5,O1
1.0,S5-B4,3.0,P10,post,S5,alpha,5.385339996707772e-09,11.5,Oz
1.0,S5-B4,3.0,P10,pre,S5,alpha,5.724695393323576e-09,11.5,Oz
1.0,S5-B4,3.0,P10,slice,S5,alpha,5.189017984030685e-09,11.5,Oz
1.0,S5-B4,4.0,P10,post,S5,alpha,6.616426232853937e-09,11.5,O2
1.0,S5-B4,4.0,P10,pre,S5,alpha,6.912565350288304e-09,11.5,O2
1.0,S5-B4,4.0,P10,slice,S5,alpha,6.44914635866546e-09,11.5,O2
1.0,S5-B4,5.0,P10,post,S5,alpha,8.29680672338412e-09,11.5,P4
1.0,S5-B4,5.0,P10,pre,S5,alpha,8.541696485835328e-09,11.5,P4
1.0,S5-B4,5.0,P10,slice,S5,alpha,8.283451967481041e-09,11.5,P4
2.0,S5-B4,0.0,P10,post,S5,alpha,5.87972249539566e-09,11.5,Pz
2.0,S5-B4,0.0,P10,pre,S5,alpha,5.896971794705295e-09,11.5,Pz
2.0,S5-B4,0.0,P10,slice,S5,alpha,6.415191545219936e-09,11.5,Pz
2.0,S5-B4,1.0,P10,post,S5,alpha,4.6675482180098485e-09,11.5,P3
2.0,S5-B4,1.0,P10,pre,S5,alpha,4.818074009768221e-09,11.5,P3
2.0,S5-B4,1.0,P10,slice,S5,alpha,5.1586461687401405e-09,11.5,P3
2.0,S5-B4,2.0,P10,post,S5,alpha,4.059983514478114e-09,11.5,O1
2.0,S5-B4,2.0,P10,pre,S5,alpha,4.233549951970848e-09,11.5,O1
2.0,S5-B4,2.0,P10,slice,S5,alpha,4.517114294045311e-09,11.5,O1
2.0,S5-B4,3.0,P10,post,S5,alpha,4.672011229120563e-09,11.5,Oz
2.0,S5-B4,3.0,P10,pre,S5,alpha,4.726060705836433e-09,11.5,Oz
2.0,S5-B4,3.0,P10,slice,S5,alpha,5.154701614518376e-09,11.5,Oz
2.0,S5-B4,4.0,P10,post,S5,alpha,5.864972712526977e-09,11.5,O2
2.0,S5-B4,4.0,P10,pre,S5,alpha,5.752772770533981e-09,11.5,O2
2.0,S5-B4,4.0,P10,slice,S5,alpha,6.4163049256864004e-09,11.5,O2
2.0,S5-B4,5.0,P10,post,S5,alpha,7.608957144381388e-09,11.5,P4
2.0,S5-B4,5.0,P10,pre,S5,alpha,7.319709438868349e-09,11.5,P4
2.0,S5-B4,5.0,P10,slice,S5,alpha,8.24121502750403e-09,11.5,P4
3.0,S5-B4,0.0,P10,post,S5,alpha,5.7000448767929185e-09,11.5,Pz
3.0,S5-B4,0.0,P10,pre,S5,alpha,5.927019895371799e-09,11.5,Pz
3.0,S5-B4,0.0,P10,slice,S5,alpha,6.425748947746219e-09,11.5,Pz
3.0,S5-B4,1.0,P10,post,S5,alpha,4.68901390419284e-09,11.5,P3
3.0,S5-B4,1.0,P10,pre,S5,alpha,4.784458237374896e-09,11.5,P3
3.0,S5-B4,1.0,P10,slice,S5,alpha,5.168028253679177e-09,11.5,P3
3.0,S5-B4,2.0,P10,post,S5,alpha,4.449987146429219e-09,11.5,O1
3.0,S5-B4,2.0,P10,pre,S5,alpha,4.249742291629637e-09,11.5,O1
3.0,S5-B4,2.0,P10,slice,S5,alpha,4.5279671147649385e-09,11.5,O1
3.0,S5-B4,3.0,P10,post,S5,alpha,5.135686016315137e-09,11.5,Oz
3.0,S5-B4,3.0,P10,pre,S5,alpha,4.864369930414367e-09,11.5,Oz
3.0,S5-B4,3.0,P10,slice,S5,alpha,5.168483095745725e-09,11.5,Oz
3.0,S5-B4,4.0,P10,post,S5,alpha,6.306658845201299e-09,11.5,O2
3.0,S5-B4,4.0,P10,pre,S5,alpha,6.047308149263903e-09,11.5,O2
3.0,S5-B4,4.0,P10,slice,S5,alpha,6.426162888542304e-09,11.5,O2
3.0,S5-B4,5.0,P10,post,S5,alpha,7.927427183613695e-09,11.5,P4
3.0,S5-B4,5.0,P10,pre,S5,alpha,7.766468085980617e-09,11.5,P4
3.0,S5-B4,5.0,P10,slice,S5,alpha,8.25589052382968e-09,11.5,P4
4.0,S5-B4,0.0,P10,post,S5,alpha,6.520184945924769e-09,11.5,Pz
4.0,S5-B4,0.0,P10,pre,S5,alpha,6.567008106614946e-09,11.5,Pz
4.0,S5-B4,0.0,P10,slice,S5,alpha,6.4203353657213715e-09,11.5,Pz
4.0,S5-B4,1.0,P10,post,S5,alpha,5.507424902838679e-09,11.5,P3
4.0,S5-B4,1.0,P10,pre,S5,alpha,5.515921293406271e-09,11.5,P3
4.0,S5-B4,1.0,P10,slice,S5,alpha,5.1628183670906934e-09,11.5,P3
4.0,S5-B4,2.0,P10,post,S5,alpha,5.00079189000779e-09,11.5,O1
